LangID	CountryID	NameType	Name
aaa	NG	L	Ghotuo
aab	NG	D	Alumu
aab	NG	D	Tesu
aab	NG	DA	Arum
aab	NG	L	Alumu-Tesu
aab	NG	LA	Alumu
aab	NG	LA	Arum-Cesu
aab	NG	LA	Arum-Chessu
aab	NG	LA	Arum-Tesu
aac	PG	D	Serea
aac	PG	L	Ari
aad	PG	L	Amal
aad	PG	LA	Alai
aae	IT	D	Calabrian Albanian
aae	IT	D	Campo Marino Albanian
aae	IT	D	Central Mountain Albanian
aae	IT	D	Molise Albanian
aae	IT	D	Sicilian Albanian
aae	IT	L	Albanian, Arbëreshë
aae	IT	LA	Arbëreshë
aaf	IN	L	Aranadan
aaf	IN	LA	Aranatan
aaf	IN	LA	Arnatas
aaf	IN	LA	Eranadans
aag	PG	L	Ambrak
aah	PG	D	Matapau
aah	PG	L	Arapesh, Abu’
aah	PG	LA	Abu’
aah	PG	LA	Ua
aai	PG	D	Arifama
aai	PG	D	Miniafia
aai	PG	L	Miniafia Oyan
aai	PG	LA	Arifama-Miniafia
aai	PG	LA	Miniafia-Arifama
aak	PG	D	Ankai
aak	PG	D	Bu’u
aak	PG	D	Miyatnu
aak	PG	D	Sawuve
aak	PG	D	Wiyagwa
aak	PG	D	Wunavai
aak	PG	L	Ankave
aak	PG	LA	Angave
aal	CM	L	Afade
aal	CM	LA	Afadeh
aal	CM	LA	Affade
aal	CM	LA	Mandagué
aal	NG	L	Afade
aal	NG	LA	Afada
aal	NG	LA	Afadeh
aal	NG	LA	Affade
aal	NG	LA	Kotoko
aal	NG	LA	Mogari
aan	BR	L	Anambé
aao	DZ	L	Arabic, Algerian Saharan Spoken
aao	DZ	LA	Saharan Arabic
aao	DZ	LA	Tamanghasset Arabic
aao	DZ	LA	Tamanrasset Arabic
aao	NE	L	Arabic, Algerian Saharan Spoken
aap	BR	L	Arára, Pará
aap	BR	LA	Arára Bravos
aap	BR	LA	Ukarãngmã
aaq	US	D	Penobscot
aaq	US	DA	Penawahpskewi
aaq	US	L	Abenaki, Eastern
aaq	US	LA	Abenaki
aaq	US	LA	Alnombak
aaq	US	LA	Alnôbak
aaq	US	LA	Eastern Abnaki
aar	DJ	L	Afar
aar	DJ	LA	Afaraf
aar	DJ	LA	Qafar
aar	DJ	LA	Qafar af
aar	DJ	LA	ʿAfár af
aar	ER	D	Aussa
aar	ER	D	Ba’adu
aar	ER	D	Central Afar
aar	ER	D	Northern Afar
aar	ER	L	Afar
aar	ER	LA	Afaraf
aar	ER	LA	Qafar
aar	ER	LA	Qafar af
aar	ER	LA	ʿAfár af
aar	ET	D	Aussa
aar	ET	D	Baadu
aar	ET	D	Central Afar
aar	ET	D	Northern Afar
aar	ET	DA	Ba’adu
aar	ET	L	Afar
aar	ET	LA	Adal
aar	ET	LA	Afaraf
aar	ET	LA	Affar
aar	ET	LA	Affarigna
aar	ET	LA	Qafar
aar	ET	LA	Qafar af
aar	ET	LA	ʿAfár af
aas	TZ	L	Aasáx
aas	TZ	LA	Aasá
aas	TZ	LA	Aramanik
aas	TZ	LA	Asak
aas	TZ	LA	Asax
aas	TZ	LA	Assa
aas	TZ	LA	Asá
aas	TZ	LA	Il Konono
aas	TZ	LA	Lamanik
aat	GR	D	Northwestern Arvanitika
aat	GR	D	South Central Arvanitika
aat	GR	D	Thracean Arvanitika
aat	GR	L	Albanian, Arvanitika
aat	GR	LA	Arberichte
aat	GR	LA	Arbërisht
aat	GR	LA	Arvanitic
aat	GR	LA	Arvanitika
aau	PG	D	Central Abau
aau	PG	D	Downriver Abau
aau	PG	D	Downriver border Abau
aau	PG	D	Upriver Abau
aau	PG	DA	Oriyai
aau	PG	L	Abau
aau	PG	LA	Green River
aaw	PG	D	Arawe
aaw	PG	L	Solong
aaw	PG	LA	Arawe
aaw	PG	LA	Arove
aaw	PG	LA	Pililo
aax	ID	L	Mandobo Atas
aax	ID	LA	Dumut
aax	ID	LA	Kambon
aax	ID	LA	Kwem
aax	ID	LA	Mandobbo
aax	ID	LA	Nub
aax	ID	LA	Wambon
aaz	ID	D	Kotos
aaz	ID	D	Ro’is
aaz	ID	D	Ro’is Hero
aaz	ID	D	Ro’is Tais Nonof
aaz	ID	DA	Kopa
aaz	ID	L	Amarasi
aaz	ID	LA	Timor Amarasi
aaz	ID	LA	Uab Meto
aba	CI	D	Abbey-Ve
aba	CI	D	Kos
aba	CI	D	Morie
aba	CI	D	Tioffo
aba	CI	DA	Khos
aba	CI	L	Abé
aba	CI	LA	Abbey
aba	CI	LA	Abbé
aba	CI	LA	Abi
abb	CM	L	Bankon
abb	CM	LA	Abaw
abb	CM	LA	Abo
abb	CM	LA	Bo
abb	CM	LA	Bon
abc	PH	L	Ayta, Ambala
abc	PH	LA	Ambala Agta
abc	PH	LA	Ambala Sambal
abd	PH	L	Manide
abd	PH	LA	Abiyan
abd	PH	LA	Agta
abd	PH	LA	Camarinas Norte Agta
abe	CA	L	Abenaki, Western
abe	CA	LA	Abenaki
abe	CA	LA	Abenaqui
abe	CA	LA	Alnombak
abe	CA	LA	Alnôbak
abe	CA	LA	Saint Francis
abe	CA	LA	Western Abnaki
abe	US	L	Abenaki, Western
abe	US	LA	Alnombak
abe	US	LA	Alnôbak
abf	MY	L	Abai Sungai
abg	PG	L	Wagama
abg	PG	LA	Abaga
abg	PG	LA	Vaga
abg	PG	LA	Wagaba
abh	AF	D	Balkh Arabic
abh	AF	L	Arabic, Tajiki Spoken
abh	AF	LA	Arabi
abh	TJ	L	Arabic, Tajiki Spoken
abh	TJ	LA	Arabi
abh	TJ	LA	Bukhara Arabic
abh	TJ	LA	Buxara Arabic
abh	TJ	LA	Central Asian
abh	TJ	LA	Jugari
abh	TJ	LA	Tajiki Arabic
abi	CI	D	Enyembe
abi	CI	D	Ogbru
abi	CI	L	Abidji
abi	CI	LA	Abiji
abj	IN	L	Aka-Bea
abj	IN	LA	Aka-Beada
abj	IN	LA	Aka-Biada
abj	IN	LA	Bea
abj	IN	LA	Beada
abj	IN	LA	Biada
abj	IN	LA	Bogijiab
abj	IN	LA	Bojigniji
abj	IN	LA	Bojigyab
abk	GE	D	Abzhui
abk	GE	D	Bzyb
abk	GE	D	Samurzakan
abk	GE	L	Abkhaz
abk	GE	LA	Abxazo
abk	TR	D	Abzhui
abk	TR	D	Bzyb
abk	TR	D	Samurzakan
abk	TR	L	Abkhaz
abk	TR	LA	Abxazo
abl	ID	D	Abung
abl	ID	D	Melinting
abl	ID	D	Sukadana
abl	ID	D	Tulangbawang
abl	ID	L	Lampung Nyo
abl	ID	LA	Abung
abl	ID	LA	Lampong
abm	NG	L	Abanyom
abm	NG	LA	Abanyum
abm	NG	LA	Befun
abm	NG	LA	Bofon
abm	NG	LA	Mbofon
abn	NG	D	Central Abuan
abn	NG	D	Emughan
abn	NG	D	Okpeden
abn	NG	D	Otapha
abn	NG	DA	Otabha
abn	NG	L	Abua
abn	NG	LA	Abuan
abo	NG	L	Abon
abo	NG	LA	Abong
abo	NG	LA	Abõ
abo	NG	LA	Ba’ban
abp	PH	L	Ayta, Abellen
abp	PH	LA	Abenlen
abp	PH	LA	Aburlen Negrito
abp	PH	LA	Aburlin
abp	PH	LA	Ayta Abellen Sambal
abq	RU	D	Ashkaraua
abq	RU	D	Bezshagh
abq	RU	D	Tapanta
abq	RU	DA	Ashkar
abq	RU	DA	Ashxar
abq	RU	L	Abaza
abq	RU	LA	Abazin
abq	RU	LA	Abazintsy
abq	RU	LA	Ashuwa
abq	TR	D	Ashkaraua
abq	TR	D	Bezshagh
abq	TR	D	Tapanta
abq	TR	DA	Ashkar
abq	TR	L	Abaza
abq	TR	LA	Abazin
abq	TR	LA	Abazintsy
abq	TR	LA	Ahuwa
abr	CI	L	Abron
abr	CI	LA	Bron
abr	CI	LA	Brong
abr	CI	LA	Doma
abr	CI	LA	Gyaman
abr	GH	D	Bono
abr	GH	L	Abron
abr	GH	LA	Bron
abr	GH	LA	Brong
abr	GH	LA	Doma
abr	GH	LA	Gyaman
abs	ID	D	Dobo Malay
abs	ID	L	Malay, Ambonese
abs	ID	LA	Ambonese
abs	ID	LA	Ambong
abs	ID	LA	Bahasa Ambon
abs	ID	LA	Bahasa Melaju Ambon
abs	ID	LA	Malayu Ambon
abs	ID	LA	Moluccan (Maluku) Malay
abt	PG	D	Maprik
abt	PG	D	Wingei
abt	PG	D	Wosera-Kamu
abt	PG	D	Wosera-Mamu
abt	PG	L	Ambulas
abt	PG	LA	Abelam
abt	PG	LA	Abulas
abu	CI	L	Abure
abu	CI	LA	Abonwa
abu	CI	LA	Abouré
abu	CI	LA	Abule
abu	CI	LA	Akaplass
abu	CI	LA	Ehie
abu	CI	LA	Eyive
abu	CI	LA	Ossouon
abv	BH	D	Sunni Spoken Arabic
abv	BH	L	Arabic, Baharna Spoken
abv	BH	LA	Baharna
abv	BH	LA	Baharnah
abv	BH	LA	Bahraini Shi’ite Arabic
abv	OM	L	Arabic, Baharna Spoken
abw	PG	L	Pal
abw	PG	LA	Abasakur
abx	PH	L	Inabaknon
abx	PH	LA	Abaknon
abx	PH	LA	Abaknon Sama
abx	PH	LA	Capuleño
abx	PH	LA	Kapul
abx	PH	LA	Sama
aby	PG	D	Auwaka
aby	PG	D	Buniabura
aby	PG	D	Doma
aby	PG	D	Jari
aby	PG	D	Mori
