# Components patches published on base 1452 added, from every .msp on the update bucket
# ComponentId	Component	File	Feature	FirstShipped	LastShipped
{DA0940BD-0FA2-5C72-BC6F-EFADFC01AF8A}	cmp8F63659DC44FBC0F7703F8C24F1DF4DC	AIExportInstructions.md	Complete	9.3.11.2693	9.3.12.2760
{D3F3D4D1-690D-5570-90C3-07AC15DBF944}	cmp6F532A88487F846B64ADC73FD2069DC9	Avalonia.Base.dll	Complete	9.3.11.2649	9.3.12.2760
{48987B23-7456-544F-A320-AD7F5DD13B67}	cmp295D431BF73CBADDD7FCD13AC811E14D	Avalonia.Controls.dll	Complete	9.3.11.2649	9.3.12.2760
{644EFFE3-9DFF-507A-8D53-17A1167496F8}	cmp515AEF8E04CEE9DBD98D566FFBFC5465	Avalonia.DesignerSupport.dll	Complete	9.3.11.2649	9.3.12.2760
{DB85E238-F9C9-55B7-8C76-FA2CC185A8E3}	cmp60F16D63CA4BC46430A7ECB89F46FA18	Avalonia.Desktop.dll	Complete	9.3.11.2649	9.3.12.2760
{DBF8B74B-D91F-5F23-B4D1-E55DC755DCE7}	cmpFA9EACE595AFE0745CF5143237D52623	Avalonia.Dialogs.dll	Complete	9.3.11.2649	9.3.12.2760
{B7C5DCDD-0DF8-5436-AF56-55A83851A666}	cmp660B3182149886A1D06AF308784F3CBC	Avalonia.dll	Complete	9.3.11.2649	9.3.12.2760
{91ABBE9E-0556-5EC8-9221-482000C1A71C}	cmpF938C1EDEF7D137C951EE38003E863C8	Avalonia.FreeDesktop.dll	Complete	9.3.11.2649	9.3.12.2760
{2DA9E2A1-1CC9-5E58-A5BD-2B6C11CF4040}	cmpB34F12C6C13ACAA9D4391C4044F7C1A4	Avalonia.Headless.dll	Complete	9.3.11.2649	9.3.12.2760
{BECB2C60-A212-524F-8EE7-E42C5491F78E}	cmp49FE4DA9C83AA91FE4179EAD8590BF5F	Avalonia.Headless.NUnit.dll	Complete	9.3.11.2649	9.3.12.2760
